zipcode,bedrooms,beds,availability_30
10001,0,0,14.538461538461538
10001,0,1,14.621621621621621
10001,0,2,12.964285714285714
10001,0,3,16.75
10001,0,4,23.5
10001,0,5,0.0
10001,1,0,17.11111111111111
10001,1,1,11.86784140969163
10001,1,2,17.43617021276596
10001,1,3,13.615384615384615
10001,1,4,17.2
10001,1,5,20.5
10001,1,6,0.0
10001,2,0,0.0
10001,2,1,10.0
10001,2,2,11.214285714285714
10001,2,3,14.0
10001,2,4,13.666666666666666
10001,2,5,22.0
10001,3,0,0.0
10001,3,1,9.0
10001,3,3,19.25
10001,3,4,14.75
10001,3,5,15.0
10001,4,3,27.0
10001,4,4,27.0
10001,4,5,25.5
10001,4,6,18.0
10001,4,14,26.0
10001,5,7,30.0
10002,0,0,15.142857142857142
10002,0,1,4.523255813953488
10002,0,2,12.583333333333334
10002,0,3,12.5
10002,0,6,30.0
10002,1,0,10.555555555555555
10002,1,1,9.737579617834395
10002,1,2,11.830882352941176
10002,1,3,13.666666666666666
10002,1,4,16.571428571428573
10002,1,6,26.0
10002,2,0,7.333333333333333
10002,2,1,6.6875
10002,2,2,10.841269841269842
10002,2,3,14.428571428571429
10002,2,4,14.714285714285714
10002,3,0,0.0
10002,3,1,8.0
10002,3,3,14.137931034482758
10002,3,4,17.77777777777778
10002,3,5,26.75
10002,4,4,12.75
10002,4,5,16.666666666666668
10002,4,6,0.0
10002,5,1,30.0
10002,5,5,16.0
10002,5,6,0.0
10002,6,1,0.0
10003,0,0,9.0
10003,0,1,7.0
10003,0,2,7.333333333333333
10003,0,3,0.0
10003,1,0,8.5625
10003,1,1,8.484848484848484
10003,1,2,11.160714285714286
10003,1,3,12.5
10003,1,4,23.5
10003,1,5,0.0
10003,2,0,15.8
10003,2,1,7.4
10003,2,2,9.436781609195402
10003,2,3,13.571428571428571
10003,2,4,18.818181818181817
10003,3,0,17.0
10003,3,1,15.0
10003,3,2,0.0
10003,3,3,12.12
10003,3,4,14.529411764705882
10003,3,5,16.666666666666668
10003,3,6,17.0
10003,3,8,18.0
10003,4,3,0.0
10003,4,4,8.1
10003,4,5,14.0
10003,4,6,12.5
10003,4,8,0.0
10003,5,1,22.0
10003,5,5,30.0
10003,8,12,9.0
10004,0,0,14.0
10004,0,1,8.0
10004,0,2,7.0
10004,1,0,29.0
10004,1,1,8.076923076923077
10004,1,2,16.571428571428573
10004,2,2,5.142857142857143
10004,2,4,20.0
10004,3,3,21.0
10004,4,6,25.0
10005,0,0,7.25
10005,0,1,10.616666666666667
10005,0,2,11.5
10005,1,0,15.0
10005,1,1,9.742268041237113
10005,1,2,19.25
10005,1,3,11.875
10005,1,4,3.5
10005,2,1,14.0
10005,2,2,17.153846153846153
10005,2,3,18.8
10005,2,4,14.5
10005,3,1,0.0
10005,3,2,30.0
10005,3,3,17.928571428571427
10005,3,4,26.571428571428573
10005,4,1,0.0
10005,4,4,30.0
10006,0,0,10.545454545454545
10006,0,1,6.714285714285714
10006,0,2,0.0
10006,1,1,5.954545454545454
10006,1,2,3.0
10006,1,3,0.0
10006,2,1,0.0
10006,2,2,25.0
10006,2,3,0.0
10006,2,5,0.0
10006,3,3,19.0
10007,0,1,6.769230769230769
10007,0,2,0.0
10007,0,4,23.0
10007,1,1,3.3157894736842106
10007,1,2,19.2
10007,2,1,0.0
10007,2,2,7.0
10007,2,3,29.0
10007,3,3,0.0
10007,3,5,0.0
10007,4,4,0.0
10009,0,0,13.3
10009,0,1,6.337078651685394
10009,0,2,7.947368421052632
10009,1,0,9.0
10009,1,1,6.705278592375366
10009,1,2,10.606382978723405
10009,1,3,10.0
10009,1,4,30.0
10009,2,0,0.0
10009,2,1,4.857142857142857
10009,2,2,8.379310344827585
10009,2,3,13.212121212121213
10009,2,4,24.2
10009,2,5,4.0
10009,2,6,24.0
10009,3,0,0.0
10009,3,3,7.411764705882353
10009,3,4,15.466666666666667
10009,3,5,13.75
10009,3,6,24.5
10009,4,1,28.0
10009,4,4,22.75
10009,4,6,1.0
10010,0,0,6.0
10010,0,1,8.020833333333334
10010,0,2,11.2
10010,1,0,10.181818181818182
10010,1,1,8.35754189944134
10010,1,2,8.216216216216216
10010,1,3,16.333333333333332
10010,1,4,30.0
10010,1,6,30.0
10010,2,0,30.0
10010,2,1,0.0
10010,2,2,10.478260869565217
10010,2,3,8.88888888888889
10010,2,4,9.5
10010,2,5,25.0
10010,2,6,0.0
10010,3,0,29.0
10010,3,1,0.0
10010,3,3,14.6
10010,3,4,13.0
10010,3,5,18.0
10010,3,7,28.0
10010,4,4,21.0
10010,5,6,0.0
10011,0,0,15.1875
10011,0,1,7.034013605442177
10011,0,2,8.105263157894736
10011,0,3,0.0
10011,1,0,7.833333333333333
10011,1,1,7.707142857142857
10011,1,2,9.209876543209877
10011,1,3,14.88888888888889
10011,1,4,30.0
10011,2,0,24.5
10011,2,1,14.5
10011,2,2,7.327868852459017
10011,2,3,11.608695652173912
10011,2,4,11.285714285714286
10011,2,5,20.5
10011,3,2,0.0
10011,3,3,12.6
10011,3,4,8.0
10011,3,5,19.5
10011,3,6,0.0
10011,4,1,0.0
10011,4,4,26.0
10011,4,5,13.6
10011,4,6,0.0
10011,7,7,0.0
10012,0,0,6.5
10012,0,1,12.298507462686567
10012,0,2,6.75
10012,0,4,21.5
10012,1,0,16.0
10012,1,1,7.788697788697789
10012,1,2,8.338709677419354
10012,1,3,4.0
10012,1,4,29.0
10012,2,0,4.6
10012,2,1,5.2
10012,2,2,9.959183673469388
10012,2,3,10.608695652173912
10012,2,4,5.75
10012,3,1,30.0
10012,3,3,10.517241379310345
10012,3,4,30.0
10012,3,5,4.666666666666667
10012,3,6,0.0
10012,4,4,11.0
10012,5,7,14.0
10013,0,0,29.0
10013,0,1,5.970588235294118
10013,0,2,13.0
10013,0,3,14.0
10013,0,4,23.0
10013,1,0,12.0
10013,1,1,10.0
10013,1,2,13.7
10013,1,3,17.333333333333332
10013,1,4,28.0
10013,1,5,11.0
10013,2,1,9.666666666666666
10013,2,2,8.308823529411764
10013,2,3,13.473684210526315
10013,2,4,0.0
10013,2,5,3.0
10013,2,6,29.0
10013,3,0,21.0
10013,3,1,6.0
10013,3,2,26.0
10013,3,3,9.733333333333333
10013,3,4,8.5
10013,3,5,30.0
10013,3,6,29.0
10013,4,4,4.142857142857143
10013,4,5,23.0
10013,4,7,21.0
10013,5,5,23.5
10013,5,16,0.0
10013,6,6,23.0
10014,0,0,9.352941176470589
10014,0,1,7.263736263736264
10014,0,2,15.058823529411764
10014,0,3,18.0
10014,1,0,8.8
10014,1,1,8.634760705289672
10014,1,2,9.611940298507463
10014,1,3,13.625
10014,1,4,0.0
10014,2,0,13.5
10014,2,1,7.285714285714286
10014,2,2,10.238095238095237
10014,2,3,11.444444444444445
10014,2,4,5.0
10014,3,3,13.636363636363637
10014,3,4,15.666666666666666
10014,3,5,23.0
10014,4,0,29.0
10014,4,4,8.0
10014,4,5,14.0
10014,5,0,30.0
10014,5,6,30.0
10014,6,6,9.0
10016,0,0,13.75
10016,0,1,13.366863905325443
10016,0,2,13.770833333333334
10016,0,3,11.5
10016,1,0,9.1875
10016,1,1,10.668192219679634
10016,1,2,15.601398601398602
10016,1,3,15.714285714285714
10016,1,4,16.0
10016,1,5,29.5
10016,1,6,20.75
10016,2,1,10.0
10016,2,2,15.056603773584905
10016,2,3,17.536585365853657
10016,2,4,15.333333333333334
10016,2,5,16.2
10016,2,6,19.166666666666668
10016,3,2,0.0
10016,3,3,16.9
10016,3,4,16.4
10016,3,5,8.75
10016,3,6,23.666666666666668
10016,3,9,9.0
10016,4,4,21.6
10016,4,5,22.2
10016,4,6,22.5
10016,4,9,25.0
10016,5,7,11.0
10016,6,8,14.0
10016,21,1,20.0
10017,0,0,10.555555555555555
10017,0,1,14.72
10017,0,2,16.942857142857143
10017,0,3,6.0
10017,1,0,21.833333333333332
10017,1,1,10.230088495575222
10017,1,2,11.262295081967213
10017,1,3,0.0
10017,1,4,12.0
10017,2,2,13.478260869565217
10017,2,3,9.75
10017,2,4,0.0
10017,3,3,12.666666666666666
10018,0,0,21.833333333333332
10018,0,1,11.529411764705882
10018,0,2,11.0
10018,1,0,14.3
10018,1,1,16.552884615384617
10018,1,2,17.385964912280702
10018,1,3,18.5
10018,1,5,12.0
10018,2,0,29.0
10018,2,1,14.5
10018,2,2,13.863636363636363
10018,2,3,17.076923076923077
10018,2,4,21.285714285714285
10018,2,5,21.2
10018,3,3,24.285714285714285
10018,3,4,17.333333333333332
10018,3,5,17.0
10018,3,6,20.0
10018,4,8,26.0
10018,5,5,0.0
10018,5,6,26.0
10019,0,0,13.444444444444445
10019,0,1,8.916666666666666
10019,0,2,13.022727272727273
10019,0,3,24.857142857142858
10019,1,0,16.166666666666668
10019,1,1,11.894295302013424
10019,1,2,14.302788844621514
10019,1,3,13.318181818181818
10019,1,4,25.56
10019,1,6,23.333333333333332
10019,1,8,30.0
10019,1,12,24.0
10019,2,1,22.625
10019,2,2,15.068627450980392
10019,2,3,17.4
10019,2,4,25.25
10019,2,5,16.0
10019,2,6,19.0
10019,3,1,25.0
10019,3,3,14.95
10019,3,4,13.375
10019,3,5,25.0
10019,3,6,30.0
10019,3,8,0.0
10019,4,4,16.5
10019,5,5,30.0
10019,8,8,20.0
10021,0,0,0.0
10021,0,1,3.2777777777777777
10021,0,2,10.666666666666666
10021,0,3,0.0
10021,1,0,17.714285714285715
10021,1,1,7.689655172413793
10021,1,2,7.861111111111111
10021,1,3,8.0
10021,2,0,30.0
10021,2,1,5.0
10021,2,2,8.625
10021,2,3,0.0
10021,2,4,10.5
10021,3,3,10.6
10021,3,4,24.0
10021,3,6,8.0
10021,5,5,0.0
10021,13,24,30.0
10022,0,0,17.428571428571427
10022,0,1,13.594202898550725
10022,0,2,16.64516129032258
10022,1,0,17.583333333333332
10022,1,1,11.47872340425532
10022,1,2,16.238805970149254
10022,1,3,20.857142857142858
10022,1,4,13.5
10022,1,6,30.0
10022,2,0,21.0
10022,2,1,18.0
10022,2,2,19.422535211267604
10022,2,3,17.53846153846154
10022,2,4,23.5
10022,2,5,14.0
10022,3,3,15.166666666666666
10022,3,4,21.375
10022,3,11,20.0
10022,4,4,16.0
10022,4,5,22.0
10022,4,7,25.0
10022,4,9,25.0
10022,5,7,22.0
10022,6,8,24.0
10023,0,0,16.75
10023,0,1,8.14
10023,0,2,6.222222222222222
10023,1,0,17.875
10023,1,1,7.8861386138613865
10023,1,2,7.609375
10023,1,3,5.375
10023,1,5,25.0
10023,2,0,30.0
10023,2,1,7.125
10023,2,2,10.73913043478261
10023,2,3,16.523809523809526
10023,2,4,6.0
10023,2,5,24.0
10023,2,6,12.0
10023,3,2,18.8
10023,3,3,12.3
10023,3,4,14.8
10023,4,4,0.0
10023,4,5,19.0
10023,4,6,15.0
10023,4,9,18.0
10023,5,5,6.0
10024,0,0,21.8
10024,0,1,6.133333333333334
