zipcode,neighbourhood_cleansed
10018,Midtown
11238,Clinton Hill
10016,Murray Hill
10019,Hell's Kitchen
10025,Upper West Side
10002,Chinatown
10036,Hell's Kitchen
10014,West Village
11215,South Slope
10029,East Harlem
11205,Fort Greene
11216,Crown Heights
11217,Park Slope
11216,Bedford-Stuyvesant
10034,Inwood
10003,East Village
10031,Harlem
10027,Harlem
11238,Bedford-Stuyvesant
11237,Bushwick
11226,Flatbush
10002,Lower East Side
10009,East Village
11225,Prospect-Lefferts Gardens
11101,Long Island City
11221,Bedford-Stuyvesant
10024,Upper West Side
11206,Williamsburg
11222,Greenpoint
10010,Kips Bay
11211,Williamsburg
10016,Kips Bay
10018,Hell's Kitchen
10002,Nolita
11249,Williamsburg
10001,Chelsea
10162,Upper East Side
11231,Red Hook
11238,Prospect Heights
11205,Clinton Hill
11215,Park Slope
10035,East Harlem
10032,Washington Heights
11377,Woodside
10014,Chelsea
11201,Brooklyn Heights
11217,Prospect Heights
11233,Bedford-Stuyvesant
11231,Carroll Gardens
11217,Gowanus
10023,Upper West Side
10128,Upper East Side
11234,Flatlands
11201,Cobble Hill
11367,Flushing
10028,Upper East Side
11217,Boerum Hill
10069,Upper West Side
11104,Sunnyside
10065,Upper East Side
10301,St. George
10013,Tribeca
10452,Highbridge
10039,Harlem
11217,Fort Greene
11385,Ridgewood
10025,Morningside Heights
10021,Upper East Side
10011,Chelsea
10075,Upper East Side
11434,Jamaica
11206,Bedford-Stuyvesant
11379,Middle Village
10026,Harlem
11105,Ditmars Steinway
10010,Flatiron District
11215,Windsor Terrace
10044,Roosevelt Island
10022,Midtown
10003,Greenwich Village
10027,East Harlem
10013,Little Italy
11221,Bushwick
10301,Tompkinsville
10010,Gramercy
11103,Astoria
11218,Kensington
10473,Clason Point
10475,Eastchester
10002,Little Italy
10468,Kingsbridge
11102,Astoria
10038,Two Bridges
11213,Crown Heights
11205,Bedford-Stuyvesant
10033,Washington Heights
11215,Gowanus
11693,Rockaway Beach
10001,Midtown
11238,Crown Heights
10012,NoHo
11375,Forest Hills
11226,East Flatbush
10016,Midtown
10012,Nolita
10012,Greenwich Village
